OBJECTID,AHA,AHA2,StName,LEAID,SchDist,RANK,TOTAL,ELEM,MIDD,HIGH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12
5378,Central Massaschusetts,FDA20,Massachusetts,2504890,Fitchburg School District,5,4981,2573,1172,1233,152,420,440,392,420,364,385,396,378,398,349,264,324,296
5384,Central Massaschusetts,FDA20,Massachusetts,2506780,Leominster School District,3,6181,2900,1434,1847,167,467,437,471,465,450,443,528,452,454,500,458,474,415
5393,Central Massaschusetts,FDA20,Massachusetts,2510770,Shrewsbury School District,4,5947,2935,1381,1631,243,341,429,457,464,516,485,476,462,443,414,414,413,390
5397,Central Massaschusetts,FDA20,Massachusetts,2511880,Wachusett School District,2,7469,3554,1833,2074,135,510,553,542,617,569,628,602,590,641,519,519,536,500
5403,Central Massaschusetts,FDA20,Massachusetts,2513230,Worcester School District,1,24411,12860,4900,6651,1624,2145,2004,1831,1797,1776,1683,1815,1555,1530,1896,1626,1624,1505
5350,Fairfield,FDA21,Connecticut,0900450,Bridgeport School District,1,20126,11186,4353,4587,788,1922,1852,1758,1700,1666,1500,1529,1387,1437,1490,1024,1053,1020
5352,Fairfield,FDA21,Connecticut,0901020,Danbury School District,4,10488,5276,2231,2981,155,875,900,816,907,818,805,747,754,730,839,727,735,680
5354,Fairfield,FDA21,Connecticut,0901530,Fairfield School District,5,10314,4902,2522,2890,158,800,785,735,810,763,851,843,820,859,747,746,703,694
5360,Fairfield,FDA21,Connecticut,0903090,Norwalk School District,3,11111,5454,2326,3331,229,958,913,905,861,820,768,787,784,755,974,804,778,775
5363,Fairfield,FDA21,Connecticut,0904320,Stamford School District,2,15493,7481,3181,4831,85,1405,1269,1235,1143,1166,1178,1034,1085,1062,1325,1192,1195,1119
5417,Brooklyn,FDA22,New York,3620580,NEW YORK CITY PUBLIC SCHOOLS,1,1015248,493765,209812,311671,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
